tweet,subtask_a,subtask_b,subtask_c
आजच्या जनता दरबारात जळगाव जिल्ह्यातील चाळीसगावचे रहिवासी माजी सैनिक सोनू महाजन आले होते २०१६ साली भाजपचे तत्कालीन…,not offensive,NULL,NULL
कुणी कविता करत असतं तर कुणी कविता जगत असतं कुणी कविता वाचत असतं तर कुणाला कविताच वाचवत असते © पल्लवी,not offensive,NULL,NULL
आम्हाला इतिहासातील औरंगजेबशी काही घेणे नाही आमच्या कडे आमचा बेकायदेशीर रित्या आलेला हक्काचा औरंगजेब आहे तो एका क…,not offensive,NULL,NULL
गँभीर प्रकरण महाराष्ट्राची अवस्था बिकट आहे भाषणात मोठे शब्द वापरणे ऐकले कृती करावी उद्योग भी…,not offensive,NULL,NULL
कब्झा हा कन्नड चित्रपट लवकरच मराठी मध्ये डब्ब होऊन प्रदर्शित होणार आहे जर ह्या चित्रपटाला चांगला प्रतिसाद मिळाला तर आप…,not offensive,NULL,NULL
जे अनधिकृत असेल तर जरुर पाडाव ‘किंबहुना पाडलच पाहिजे फक्त ते आत्ता अचानक ‘दिसल हे धक्कादायक व लज्जास्पद आहे पण जे शहरा…,not offensive,NULL,NULL
जिथुन आशा वाढायला सुरुवात होत असते संपत्तीची तिथून दुर्दशा सुरू होते जीवनाची,not offensive,NULL,NULL
मुंबई मधून बाहेर गेले तर महाराष्ट्रासाठी मराठीसाठी फायद्याचे ठरेल सर्वात महत्त्वाचे म्हणजे…,not offensive,NULL,NULL
माझ्या माहितीमध्ये आहे एक विद्वान आता म्हणे शिवाजी महाराजांनी शत्रूचा पण आदर करायला शिकवले आहे…,not offensive,NULL,NULL
हो म्हणूनच मुंबई आणि मुंबई पोलिसांचा अपमान झाल्यावरसुद्धा तेच आता भाजप…,not offensive,NULL,NULL
कितीदा नव्याने तुला अठवावे डोळ्यांतले पाणी नव्याने वहावे कितीदा झुरावे तुझ्याच साठी कितीदा म्हणावे तुझे गीत ओठी कितीदा…,not offensive,NULL,NULL
माझ्या भावाचे खाते महापे नवी मुंबई मध्ये गणेश टूर्स अँड ट्रॅव्हल्स या नावाने आहे तरी त्या शाखेची सेवा…,not offensive,NULL,NULL
पवार समजणे सोपे नाहीये आजचा फोटो साहेब दादा ताई भाजप वा…,not offensive,NULL,NULL
यांना फासावर गेलेला शेतकरी दिसत नाही त्याचं उध्वस्त झालेलं घर दिसत नाही हंबरडा फोडणारी लेकरं आणि जनावरं दिसत ना…,not offensive,NULL,NULL
ज्येष्ठ व उच्चविद्याविभूषित अभिनेत्री लीला चिटणीस यांची आज जयंती हिंदी चित्रपटातील वात्सल्यसिंधू आई म्ह…,not offensive,NULL,NULL
जोपर्यंत मराठी माणस सारख्या मराठीत सेवा न देणाऱ्या कंपन्यांच्या वस्तू खरेदी करण बंद करत…,not offensive,NULL,NULL
मुंबई पोलिसांवर अविश्वास दाखवून त्यांची बदनामी करणाऱ्या कंगना रानौतला विमान तळावरून घरी जाताना वाय प्लस दर्जाची सुरक्षा क…,not offensive,NULL,NULL
आंदोलन बाळासाहेब आंबेडकर यांच्या नेतृत्वाखाली सर्व संघटनांना सोबत घेऊन कामगारांचा तीव्र क…,not offensive,NULL,NULL
१९३९ साली खोती पद्धत रद्द करून शासनाला कूळ कायदा बनविण्यास भाग पाडणारे आगरी समाजातील नेते नारायण नागो पाटील प्रकल्पग्रस्ताना…,not offensive,NULL,NULL
आपल्या लाडक्या अवधूतदादाच्या युट्युब चॅनेलवर लवकरच येतेय सोन्याच्या मधानं भिजलंय लावणी तुमच्यासाठी नक्कीच इथे टा…,not offensive,NULL,NULL
शेतकरी आज खरंच खुश दिसतोय याच हे उत्तम उदाहरण चार एकर कोथिंबीरीला ४१ दिवसात जेव्हा १२ लाख ५० हजार रूपये मिळाले,not offensive,NULL,NULL
बोनस चित्रपटाच्या चित्रिकरणाच्या वेळेच्या या गोष्टी माहित आहे का तुम्हाला?,not offensive,NULL,NULL
अजूनही हिंदी लादत आहे भाषिकांवर ?आपण फोन केला की कोरोनामुक्तीच्या हिंदीत…,not offensive,NULL,NULL
माणुसकीचे असावे माणसाला छंद तेंव्हाच जोडले जातात मनाशी मनाचे रेशमी बंध या ठिकाणी आहेत फॉलो करून अनफॉलो करणारेच…,not offensive,NULL,NULL
तो माझ्यात मैत्रीण शोधतोय आणि मी त्याची प्रेयसी बनण्याच्या प्रयत्नात दोघेही असफल या न संपणाऱ्या युद्धात …,not offensive,NULL,NULL
कर्म कायम धर्मा पेक्षा श्रेष्ठ राहिलयं कारण धर्म करून तुम्ही देवाकडे याचना करता परंतु कर्म केल्यावर देवाला स्वत …,not offensive,NULL,NULL
